Temps,ValSingMax
1.000000,5.271852
2.000000,5.826628
3.000000,6.929082
4.000000,8.293784
5.000000,9.828068
6.000000,11.507760
7.000000,13.330795
8.000000,15.300672
9.000000,17.420196
10.000000,19.689053
11.000000,22.102946
12.000000,24.653412
13.000000,27.327944
14.000000,30.110256
15.000000,32.980629
16.000000,35.916294
17.000000,38.891858
18.000000,41.879758
19.000000,44.850743
20.000000,47.774391
21.000000,50.619647
22.000000,53.355381
23.000000,55.950963
24.000000,58.376841
25.000000,60.605116
26.000000,62.610107
27.000000,64.368882
28.000000,65.861758
29.000000,67.072753
30.000000,67.989973
31.000000,68.605940
32.000000,68.917828
33.000000,68.927620
34.000000,68.642171
35.000000,68.073167
36.000000,67.236990
37.000000,66.154465
38.000000,64.850514
39.000000,63.353692
40.000000,61.695624
41.000000,59.910329
42.000000,58.033442
43.000000,56.101331
44.000000,54.150119
45.000000,52.214622
46.000000,50.327239
47.000000,48.516832
48.000000,46.807672
49.000000,45.218542
50.000000,43.762109
51.000000,42.444661
52.000000,41.266280
53.000000,40.221462
54.000000,39.300126
55.000000,38.488876
56.000000,37.772378
57.000000,37.134664
58.000000,36.560260
59.000000,36.035033
60.000000,35.546754
61.000000,35.085371
62.000000,34.643040
63.000000,34.213979
64.000000,33.794197
65.000000,33.381157
66.000000,32.973419
67.000000,32.570306
68.000000,32.171606
69.000000,31.777347
70.000000,31.387620
71.000000,31.002481
72.000000,30.621895
73.000000,30.245727
74.000000,29.873765
75.000000,29.505753
76.000000,29.141430
77.000000,28.780568
78.000000,28.422996
79.000000,28.068614
80.000000,27.717393
81.000000,27.369369
82.000000,27.024628
83.000000,26.683285
84.000000,26.345467
85.000000,26.011300
86.000000,25.680891
87.000000,25.354331
88.000000,25.031683
89.000000,24.712988
90.000000,24.398271
91.000000,24.087537
92.000000,23.780786
93.000000,23.478008
94.000000,23.179189
95.000000,22.884311
96.000000,22.593353
97.000000,22.306289
98.000000,22.023088
99.000000,21.743713
100.000000,21.468118
